Song Name,Artist,Genre,Song Duration,YouTube Link
Chaar Kadam,"Shaan, Shreya Ghoshal",Bollywood Romantic,4:44,https://youtu.be/WKbwopSXLWU?si=MD1LudpNIgvoaOWu
Jab Tak,"Armaan Malik, Amaal Mallik",Bollywood Romantic,5:03,https://youtu.be/K-Ts-NFR62o?si=wzx521ircdslsjMH
Maa,Shankar Mahadevan,Bollywood Emotional,5:14,https://youtu.be/pOK08cRwE6c?si=GuGzFBleiFeJve_R
Pal Pal Har Pal,"Sonu Nigam, Shreya Ghoshal",Bollywood Romantic,4:32,https://youtu.be/T53pDKTLvcY?si=4sV-lPqvmxNVWzDM
Mere Nishaan,"Kailash Kher, Meet Bros Anjjan",Devotional/Sufi,5:00,https://youtu.be/8c6GRDxa6HQ?si=xwN7s_jP9J8IV53J
Chand Sifarish,"Shaan, Kailash Kher",Bollywood Romantic,4:37,https://youtu.be/zWEOx7TSM6I?si=HrjA9o5bM0ZKfMeQ
Har Kisi Ko,"Arijit Singh, Neeti Mohan",Bollywood Pop,5:37,https://youtu.be/OQi2Z6Im8uQ?si=XKYd657q26FzdBIi
Suno Na Sangemarmar,Arijit Singh,Bollywood Romantic,3:23,https://youtu.be/v7jiFpX5SU4?si=exSvGtn089G1cUBO
Agar Tum Saath Ho,"Alka Yagnik, Arijit Singh",Bollywood Sad,5:41,https://youtu.be/sK7riqg2mr4?si=kcxR9ce7YoiY4Q2K
Kaun Tujhe,Palak Muchhal,Bollywood Romantic,4:01,https://youtu.be/atVof3pjT-I?si=1sW0owljJKiA7bU0
Tere Hawaale,"Arijit Singh, Shilpa Rao",Bollywood Spiritual,5:50,https://youtu.be/KUpwupYj_tY?si=cP_yTUAwdDRIoOpj
Dil Diyan Gallan,Atif Aslam,Bollywood Romantic,4:20,https://youtu.be/SAcpESN_Fk4?si=vtjKq4CYlGg0amxT
Abhi Mujh Mein Kahin,Sonu Nigam,Bollywood Emotional,6:04,https://youtu.be/oWKgpB2zpgw?si=P1_rbPrye0z9DnWu
Aaoge Tum Kabhi,The Local Train,Indie Rock,4:55,https://youtu.be/i96UO8-GFvw?si=ZV1iJ7wnWGT0rzrD
Teri Yaadon Mein,"KK, Shreya Ghoshal",Bollywood Romantic,5:34,https://youtu.be/fVeJ6sJERR4?si=MFNW7HqYV0UZ5Jcp
Bheegi Bheegi,"James, Pritam",Bollywood Rock,4:41,https://youtu.be/WeY9hdsmIaQ?si=82UO54DCAaKbv1tH
Allah Ke Bande,Kailash Kher,Sufi Pop,4:12,https://youtu.be/KSwd2fYX9vg?si=3pw7QGM6NAgJ3Y_I
Kya Mujhe Pyar Hai,KK,Bollywood Rock,4:31,https://youtu.be/Gg6NMU4ivXM?si=oIni3zUbm2QZhLkp
Moh Moh Ke Dhaage (Female),Monali Thakur,Bollywood Classical,5:22,https://youtu.be/JbDktrsnH40?si=XKyFLD7ifbn6cFPe
Khairiyat,Arijit Singh,Bollywood Sad,4:40,https://youtu.be/9-AKLAfpjrI?si=KNNvl1gS5gg65eE0
Main Agar Kahoon,"Sonu Nigam, Shreya Ghoshal",Bollywood Romantic,5:10,https://youtu.be/DAYszemgPxc?si=-YU3SXOc0iuCNfr5
Give Me Some Sunshine,Suraj Jagan,Bollywood Folk-Rock,4:07,https://youtu.be/lbCRtrrMvSw?si=FFjc-WRZlJ-YeS6h
Woh Din,Arijit Singh,Bollywood Nostalgic,4:24,https://youtu.be/-z_UvHknyrc?si=tpTQ8YlaOIt7T3QT
Naina Da Kya Kasoor,Amit Trivedi,Bollywood Quirky,2:48,https://youtu.be/zdXiSlRrgWQ?si=vTGI17muwjosj4sS
Moh Moh Ke Dhaage (Male),Papon,Bollywood Classical,5:22,https://youtu.be/T-8vVY-IECk?si=f1t05DSHI0gyPiAA
Chahun Main Ya Naa,"Palak Muchhal, Arijit Singh",Bollywood Romantic,5:04,https://youtu.be/VdyBtGaspss?si=mjOKVF3ApaBO_WcJ
Choo Lo,The Local Train,Indie Rock,3:53,https://youtu.be/sFMRqxCexDk?si=zSGnOyTqfZudrNhk
Tujhe Kitna Chahne Lage,Arijit Singh,Bollywood Romantic,4:44,https://youtu.be/AgX2II9si7w?si=FzetVuK4n-6aA6Mx
Kaise Hua,Vishal Mishra,Bollywood Romantic,3:54,https://youtu.be/WWXm39leYew?si=AXvnvtnNL53BA6qJ
Ajab Si,KK,Bollywood Romantic,4:01,https://youtu.be/7KKVb0_IdD4?si=PBr0gcrav0ms7BKc
Phir Mohabbat,"Arijit Singh, Mohammed Irfan",Bollywood Romantic,5:30,https://youtu.be/m1rcse8INWk?si=EfL-acxlaGsrWoh6
Janam Janam,Arijit Singh,Bollywood Romantic,3:58,https://youtu.be/pIBoAh4OXhQ?si=wHQXgvW1AMTbWDty
Mere Haath Mein,"Sonu Nigam, Sunidhi Chauhan",Bollywood Romantic,4:48,https://youtu.be/qtz5mpvgAM0?si=Hr54ojJlUWlexKtc
